Category,Cash Sale,Unit / Customer,Selling,Costs,Sharing,Status,Notes
Mindhome / Reno,CS2605/012,AG15-WAYNE — 2 Room Premium,23444,Bank Installment Charges:2144.40; Bank Charges:39; Salesman Comm (w/c/l/g):900; Material Costing:12149.18,Other Sharing:50; CZX & GES:10,Collecting Money,29/5 settling
Mindhome / Reno,CS2605/013,AG16-WAYNE — 2 Room Premium,23444,Bank Installment Charges:2144; Bank Charges:39; Salesman Comm (w/c/l/g):900; Material Costing:11870.31,Other Sharing:50; CZX & GES:10,Completed,Left backend
Mindhome / Reno,CS2604/203 8/5/2026,A-03-02-TSL — 2 Room Customize,29999,Salesman Comm (w/c/l/g):350; Salesman Comm (angel/sally):175; Salesman Comm (CZX/GES):375; Material Costing:10838.10,Other Sharing:50; CZX & GES:10,Completed,
Mindhome / Reno,CS2604/134,A-08-10-WAYNE — 2 Room Customize,1199,Salesman Comm (w/c/l/g):250; Material Costing:718.53,Other Sharing:50; CZX & GES:10,Completed,
Mindhome / Reno,CS2604/202 8/5/26,A-10-01-GES — 2 Room Customize,10238,Bank Charges:98.51; Salesman Comm (w/c/l/g):467; Salesman Comm (angel/sally):100; Salesman Comm (CZX/GES):333; Material Costing:5348.56,Other Sharing:50; CZX & GES:10,Completed,
Mindhome / Reno,CS2605/061,D-02-32-CHAI — 2 Room Standard,19999,Bank Charges:1139; Salesman Comm (w/c/l/g):900; Material Costing:9224.53,,Completed,9 Jun Done Payment
Mindhome / Reno,CS2605/123,A-08-32-WAYNE — 2 Room Premium (excl 旋转桌),21499,Bank Installment Charges:1949.90; Bank Charges:39; Salesman Comm (w/c/l/g):900; Material Costing:11352.06,Other Sharing:50; CZX & GES:10,Completed,
Mindhome / Reno,CS2605/194,B-12-08-CHAI — 3 Room Premium add-on 厨房吊柜,30699,Bank Charges:160; Salesman Comm (w/c/l/g):1000; Material Costing:12713.41,Other Sharing:50; CZX & GES:10,Completed,
Mindhome / Reno,,A-09-15 BCY — Black Dry Kitchen Cabinet set,9599,Bank Charges:735.29; Material Costing:4123.63,,Completed,
Mindhome / Reno,,B-03-07 WAYNE — 3 Room Premium 餐边柜 change 厨房吊柜,29999,Salesman Comm (w/c/l/g):1000,,Collecting Money,29/5 settling
Mindhome / Reno,,C-03-09 BILLY — 3 Room Premium,36999,Comm Bal:550; Salesman Comm (w/c/l/g):1000; Salesman Comm (angel/sally):200,,Installing,2 June install
Mindhome / Reno,,C-05-02 CZX — 3 Room Premium,29999,Bank Charges:160; Salesman Comm (w/c/l/g):1000,,Installing,done by 29 June
Mindhome / Reno,,E-12-05-GES — 3 Room Premium 餐边柜+玄关柜 change to 厨房对面柜,29999,Bank Charges:39; Salesman Comm (w/c/l/g):1000,,In Progress,开着料
Mindhome / Reno,,D-G-16 WAYNE — 2 Room Standard,19999,Bank Charges:50; Salesman Comm (w/c/l/g):900,,In Progress,开着料
Mindhome / Reno,,D-03-26-GES — 2 Room Premium (excl 厨房柜),21000,Bank Charges:349; Salesman Comm (w/c/l/g):900,,In Progress,开着料
Mindhome / Reno,,A-10-06-GES — 2 Room Standard,19999,Salesman Comm (w/c/l/g):750; Salesman Comm (angel/sally):150,,In Progress,
Mindhome / Reno,,A-11-13-WAYNE — 2 Room Standard,18500,Bank Charges:1039,,In Progress,
Mindhome / Reno,,B-03A-01 WAYNE — 3 Room Premium,29999,Bank Charges:10; Salesman Comm (w/c/l/g):1000,,In Progress,
Mindhome / Reno,,B-03-05 WAYNE — 3 Room Premium,29999,Bank Charges:10; Salesman Comm (w/c/l/g):1000,,In Progress,
Mindhome / Reno,,D-07-13 WAYNE — 2 Room Standard,19999,Bank Charges:10; Salesman Comm (w/c/l/g):900,,In Progress,
Mindhome / Reno,,D-12-11-CHAI — 2 Room Premium,24999,Bank Charges:90; Salesman Comm (w/c/l/g):900,,In Progress,
Mindhome / Reno,,"B-12-02-GES — 3 Room Premium Masterroom + second bedroom, foyer and tv",16000,Salesman Comm (w/c/l/g):900,,Chatting,
Mindhome / Reno,,B-11-07-CZX,30999,Salesman Comm (w/c/l/g):1000,,Chatting,
Smart Home,CS2604/008-KKIC 19/5/2026,B-08-07 — Smart Home,6000,Material Costing:1955.38; Salesman Comm:300; Overriding Comm:120,P.Sharing:50,Completed,Full Cash · comm release 20/5/2026
Smart Home,CS2602/005-B 19/5/2026,C-01-02 — Smart Home,6039,Bank Interest:594; Material Costing:1326.41; Salesman Comm:300; Overriding Comm:120.78,P.Sharing:50,Installing,99+(5940) 24 months installment · comm release 20/5/2026
Smart Home,CS2604/006-CZX,B-12-08 — Smart Home,5888,Material Costing:3159.75; Overriding Comm:117.76,P.Sharing:50,Installing,50% cash payment only · comm release 20/5/2026
Smart Home,CS2604/007-CZX,C-05-02 — Smart Home,5388,Material Costing:1694.36; Overriding Comm:107.76,P.Sharing:50,Installing,Full Cash · comm release 20/5/2026
Smart Home,,A-11-03 — Smart Home,6039,Bank Interest:592.81,,Completed,99+(5940) 36 months installment
Smart Home,,C-03-09 — Smart Home,5888,,,Installing,Pay from Tenn Mindhome
Smart Home,,E-07-03A — Smart Home,6039,Bank Interest:594,,In Progress,99 (planning installment)
Smart Home,,C-08-09 — Smart Home,6039,,,Chatting,No contact yet · 3/6 receive payment
Smart Lock,CS2602/002-GES,A-08-33A — Standard Smart Lock,1549,Device Costing:240; Installation:150; Salesman Comm (3%):30.98,P.Sharing:50,Completed,
Smart Lock,CS2604/004-LSL,D-05-23A — Premium Smart Lock,2149,Device Costing:500; Installation:180; Lalamove:128.90; Salesman Comm (3%):64.47,P.Sharing:50,Completed,
Smart Lock,CS2605/001-BCY,D-07-23 — Premium Smart Lock,2149,Device Costing:500; Installation:180,,Completed,
Smart Lock,,C-05-02 — Premium Smart Lock,1979,Device Costing:500,,In Progress,After finish Reno · grey (stock)
Smart Lock,CS2512/003-BCY,A-05-03 — Premium Smart Lock,2149,Device Costing:500; Salesman Comm (3%):64.47,P.Sharing:50,In Progress,After finish Reno · black (order)
Smart Lock,,A-10-06 — Premium Smart Lock,2149,Device Costing:500,,In Progress,After finish Reno · black (stock)
Smart Lock,,A-07-06 — Standard Smart Lock,1549,Device Costing:240,,In Progress,After finish Reno · normal (stock)
Smart Lock,,B-12-08 — Premium Smart Lock,1899,Device Costing:500,,In Progress,After finish Reno · black (order)
Smart Lock,,B-08-07 — Premium Smart Lock,2000,,,Collecting Money,Planning install · black (stock)
Smart Lock,CS2605/002,A-11-03 — Premium Smart Lock,1979,Bank Comm:19.79; Device Costing:500; Installation:250; Salesman Comm (3%):59.37,,Completed,Black (stock)
